date_added,duration
"October 1, 2018",91
"October 1, 2018",97
"October 1, 2018",146
"October 1, 2018",118
"October 1, 2018",133
"October 1, 2018",106
"October 1, 2018",128
"October 1, 2018",137
"October 1, 2018",145
"October 1, 2018",106
"October 1, 2018",61
"October 1, 2018",137
"October 1, 2018",129
"October 1, 2018",99
"October 1, 2018",155
"October 1, 2018",142
"October 1, 2018",214
"October 1, 2018",137
"October 1, 2018",128
"October 1, 2018",89
"October 1, 2018",67
"October 1, 2018",151
"October 1, 2018",121
"October 1, 2018",101
"October 1, 2018",145
"October 1, 2018",147
"October 1, 2018",90
"October 1, 2018",129
"October 1, 2018",129
"October 1, 2018",136
"October 1, 2018",117
"October 1, 2018",150
"October 1, 2018",134
"October 1, 2018",100
"October 1, 2018",44
"October 1, 2018",44
"October 1, 2018",111
"October 1, 2018",147
"October 1, 2018",115
"October 1, 2018",121
"October 1, 2018",103
"October 1, 2018",73
"October 1, 2018",129
"October 1, 2018",102
"October 1, 2018",122
"October 1, 2018",155
"October 1, 2018",139
"October 1, 2018",131
"October 1, 2018",127
"October 1, 2018",156
"October 1, 2018",132
"October 1, 2018",130
"October 1, 2018",137
"October 1, 2018",132
"October 1, 2018",156
"October 1, 2018",132
"October 1, 2018",119
"October 1, 2018",140
"October 1, 2018",101
"October 1, 2018",126
"October 1, 2017",135
"October 1, 2017",107
"October 1, 2017",74
"October 1, 2017",74
"October 1, 2017",74
"October 1, 2017",83
"October 1, 2017",79
"October 1, 2017",72
"October 1, 2017",80
"October 1, 2017",75
"October 1, 2017",75
"October 1, 2017",72
"October 1, 2017",80
"October 1, 2017",93
"October 1, 2017",86
"October 1, 2017",47
"October 1, 2017",107
"October 1, 2017",119
"October 1, 2017",108
"October 1, 2017",85
"October 1, 2017",90
"October 1, 2017",72
"October 1, 2017",23
"October 1, 2017",68
"October 1, 2017",85
"October 1, 2017",84
"October 1, 2017",118
"October 1, 2017",116
"October 1, 2017",81
"October 1, 2017",73
"October 1, 2017",140
"October 1, 2016",105
"October 1, 2016",100
"October 1, 2016",96
"October 1, 2016",97
"October 1, 2016",73
"October 1, 2016",132
"October 1, 2016",96
"October 1, 2016",92
"October 1, 2016",99
"October 1, 2011",95
"October 1, 2011",96
"October 1, 2011",94
"October 1, 2011",94
"October 1, 2011",93
"October 1, 2011",96
"October 1, 2011",94
"October 1, 2011",94
"October 1, 2011",93
"October 1, 2011",95
"October 1, 2011",93
"November 9, 2018",99
"November 9, 2018",132
"November 9, 2018",106
"November 9, 2018",122
"November 8, 2019",100
"November 8, 2019",93
"November 8, 2019",94
"November 8, 2018",79
"November 8, 2018",78
"November 8, 2018",111
"November 8, 2018",112
"November 8, 2018",107
"November 8, 2016",101
"November 7, 2019",121
"November 7, 2018",102
"November 7, 2018",81
"November 7, 2017",81
"November 7, 2017",123
"November 6, 2019",78
"November 6, 2019",116
"November 5, 2019",61
"November 5, 2019",98
"November 5, 2019",123
"November 5, 2019",85
"November 5, 2018",129
"November 5, 2017",153
"November 4, 2019",92
"November 4, 2019",87
"November 4, 2019",92
"November 4, 2019",112
"November 4, 2019",97
"November 4, 2019",78
"November 4, 2019",103
"November 4, 2016",64
"November 30, 2019",135
"November 30, 2018",93
"November 30, 2018",30
"November 30, 2018",82
"November 30, 2018",95
"November 30, 2018",127
"November 30, 2018",120
"November 30, 2018",114
"November 30, 2018",119
"November 30, 2018",101
"November 30, 2018",96
"November 3, 2019",107
"November 3, 2018",86
"November 29, 2019",106
"November 29, 2019",107
"November 29, 2019",81
"November 29, 2019",107
"November 29, 2019",110
"November 29, 2019",104
"November 29, 2019",93
"November 28, 2019",94
"November 28, 2019",124
"November 28, 2018",120
"November 27, 2019",137
"November 27, 2019",134
"November 27, 2019",106
"November 27, 2019",209
"November 27, 2018",139
"November 27, 2017",128
"November 26, 2019",86
"November 26, 2019",24
"November 25, 2019",117
"November 25, 2018",95
"November 25, 2018",44
"November 25, 2016",92
"November 25, 2016",61
"November 24, 2019",92
"November 24, 2019",114
"November 24, 2019",121
"November 24, 2017",94
"November 24, 2017",101
"November 23, 2019",94
"November 23, 2019",109
"November 23, 2019",110
"November 23, 2019",96
"November 23, 2017",93
"November 22, 2019",97
"November 22, 2019",121
"November 22, 2019",119
"November 22, 2018",104
"November 22, 2017",109
"November 22, 2016",88
"November 22, 2016",88
"November 22, 2016",113
"November 21, 2019",138
"November 21, 2019",93
"November 21, 2018",110
"November 21, 2018",91
"November 21, 2017",51
"November 21, 2017",61
"November 21, 2017",73
"November 21, 2017",113
"November 21, 2016",67
"November 20, 2019",111
"November 20, 2019",88
"November 20, 2019",81
"November 20, 2019",73
"November 20, 2019",86
"November 20, 2019",116
"November 20, 2019",85
"November 20, 2019",134
"November 20, 2019",109
"November 20, 2019",102
"November 20, 2019",101
"November 20, 2019",88
"November 20, 2019",101
"November 20, 2019",28
"November 20, 2019",103
"November 20, 2019",131
"November 20, 2019",166
"November 20, 2019",105
"November 20, 2019",82
"November 20, 2019",107
"November 20, 2019",84
"November 20, 2019",103
"November 20, 2019",112
"November 20, 2019",89
"November 20, 2019",121
"November 20, 2019",87
"November 20, 2019",136
"November 20, 2019",118
"November 20, 2019",129
"November 20, 2019",94
"November 20, 2019",88
"November 20, 2019",158
"November 20, 2018",91
"November 20, 2018",114
"November 20, 2018",91
"November 20, 2018",64
"November 2, 2019",68
"November 2, 2019",68
"November 2, 2019",99
"November 2, 2019",69
"November 2, 2019",81
"November 2, 2019",69
"November 2, 2019",68
"November 2, 2019",68
"November 2, 2019",91
"November 2, 2019",86
"November 2, 2019",40
"November 2, 2018",116
"November 2, 2018",95
"November 2, 2018",122
"November 2, 2018",98
"November 2, 2016",125
"November 2, 2016",125
"November 19, 2019",78
"November 19, 2016",65
"November 18, 2018",89
"November 18, 2017",125
"November 18, 2016",62
"November 18, 2016",107
